subject,muscle_pair,phase,sec,value
subject_583,CCI_SCMR_STR,Warmup,0.9997941,0.3999335472089151
subject_584,CCI_SCMR_STR,Cooldown,0.9997941,0.7344758191096316
subject_584,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8144695107831191
subject_584,CCI_SCMR_STR,VO2max,0.9997941,0.6303998286775538
subject_584,CCI_SCMR_STR,WanT,0.9997941,0.7846924399566935
subject_584,CCI_SCMR_STR,Warmup,0.9997941,0.8553930383826411
subject_585,CCI_SCMR_STR,Cooldown,0.9997941,0.5104610197358305
subject_585,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8430151333707329
subject_585,CCI_SCMR_STR,VO2max,0.9997941,0.6269998717383828
subject_585,CCI_SCMR_STR,WanT,0.9997941,0.2020806893683062
subject_585,CCI_SCMR_STR,Warmup,0.9997941,0.2905332657880715
subject_586,CCI_SCMR_STR,Cooldown,0.9997941,0.5494031760411916
subject_586,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6993133458382264
subject_586,CCI_SCMR_STR,VO2max,0.9997941,0.9066820083309431
subject_586,CCI_SCMR_STR,WanT,0.9997941,0.3327543605580796
subject_586,CCI_SCMR_STR,Warmup,0.9997941,0.8853804811232809
subject_587,CCI_SCMR_STR,Cooldown,0.9997941,0.4211908711285028
subject_587,CCI_SCMR_STR,SecondThreshold,0.9997941,0.4707799460573517
subject_587,CCI_SCMR_STR,VO2max,0.9997941,0.4375700620298623
subject_587,CCI_SCMR_STR,WanT,0.9997941,0.6382490083349734
subject_587,CCI_SCMR_STR,Warmup,0.9997941,0.4763116446240779
subject_588,CCI_SCMR_STR,Cooldown,0.9997941,0.3327683809351544
subject_588,CCI_SCMR_STR,SecondThreshold,0.9997941,0.4514709756015235
subject_588,CCI_SCMR_STR,VO2max,0.9997941,0.7847543976419805
subject_588,CCI_SCMR_STR,WanT,0.9997941,0.4067675034613316
subject_588,CCI_SCMR_STR,Warmup,0.9997941,0.3213998188655793
subject_590,CCI_SCMR_STR,Cooldown,0.9997941,0.2883927320302889
subject_590,CCI_SCMR_STR,SecondThreshold,0.9997941,0.968747641335696
subject_590,CCI_SCMR_STR,VO2max,0.9997941,0.3697623614001452
subject_590,CCI_SCMR_STR,WanT,0.9997941,0.6546000474925325
subject_590,CCI_SCMR_STR,Warmup,0.9997941,0.707834068915919
subject_591,CCI_SCMR_STR,Cooldown,0.9997941,0.9205731329894667
subject_591,CCI_SCMR_STR,SecondThreshold,0.9997941,0.7460020660304492
subject_591,CCI_SCMR_STR,VO2max,0.9997941,0.5705631965813615
subject_591,CCI_SCMR_STR,WanT,0.9997941,0.8437277918851187
subject_591,CCI_SCMR_STR,Warmup,0.9997941,0.3684037880787446
subject_594,CCI_SCMR_STR,Cooldown,0.9997941,0.6969296409286795
subject_594,CCI_SCMR_STR,SecondThreshold,0.9997941,0.5212198098051237
subject_594,CCI_SCMR_STR,VO2max,0.9997941,0.8878669773403196
subject_594,CCI_SCMR_STR,WanT,0.9997941,0.6901202367173301
subject_594,CCI_SCMR_STR,Warmup,0.9997941,0.8650097441756049
subject_595,CCI_SCMR_STR,Cooldown,0.9997941,0.7885236226325527
subject_595,CCI_SCMR_STR,SecondThreshold,0.9997941,0.3941111389426663
subject_595,CCI_SCMR_STR,VO2max,0.9997941,0.7451688517045166
subject_595,CCI_SCMR_STR,WanT,0.9997941,0.3410382515616427
subject_595,CCI_SCMR_STR,Warmup,0.9997941,0.8915834226557253
subject_596,CCI_SCMR_STR,Cooldown,0.9997941,0.4938722590558922
subject_596,CCI_SCMR_STR,SecondThreshold,0.9997941,0.4862740242632361
subject_596,CCI_SCMR_STR,VO2max,0.9997941,0.650783515755166
subject_596,CCI_SCMR_STR,WanT,0.9997941,0.5245602072363956
subject_596,CCI_SCMR_STR,Warmup,0.9997941,0.5047640761836695
subject_597,CCI_SCMR_STR,Cooldown,0.9997941,0.8921150846495433
subject_597,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6552543790793172
subject_597,CCI_SCMR_STR,VO2max,0.9997941,0.6312909071322291
subject_597,CCI_SCMR_STR,WanT,0.9997941,
subject_597,CCI_SCMR_STR,Warmup,0.9997941,0.4631241529709452
subject_598,CCI_SCMR_STR,Cooldown,0.9997941,0.4840895222221875
subject_598,CCI_SCMR_STR,SecondThreshold,0.9997941,0.5169350988177037
subject_598,CCI_SCMR_STR,VO2max,0.9997941,0.4961498781084815
subject_598,CCI_SCMR_STR,WanT,0.9997941,0.9847087165041252
subject_598,CCI_SCMR_STR,Warmup,0.9997941,0.7880794104101543
subject_600,CCI_SCMR_STR,Cooldown,0.9997941,
subject_600,CCI_SCMR_STR,SecondThreshold,0.9997941,
subject_600,CCI_SCMR_STR,VO2max,0.9997941,
subject_600,CCI_SCMR_STR,WanT,0.9997941,
subject_600,CCI_SCMR_STR,Warmup,0.9997941,
subject_601,CCI_SCMR_STR,Cooldown,0.9997941,0.8997978055582639
subject_601,CCI_SCMR_STR,SecondThreshold,0.9997941,0.3299741832196671
subject_601,CCI_SCMR_STR,VO2max,0.9997941,0.2599718223082531
subject_601,CCI_SCMR_STR,WanT,0.9997941,0.8473464745915102
subject_601,CCI_SCMR_STR,Warmup,0.9997941,0.8199441028414343
subject_602,CCI_SCMR_STR,Cooldown,0.9997941,0.2881014715016371
subject_602,CCI_SCMR_STR,SecondThreshold,0.9997941,0.2287773146854694
subject_602,CCI_SCMR_STR,VO2max,0.9997941,0.3691059496664701
subject_602,CCI_SCMR_STR,WanT,0.9997941,0.2137906098032032
subject_602,CCI_SCMR_STR,Warmup,0.9997941,0.1229375271421746
subject_603,CCI_SCMR_STR,Cooldown,0.9997941,0.1843604334324707
